ProductID,CategoryID,ProductName,Brand,SKU,CostPrice,SellingPrice,ReorderLevel,ProductStatus,CreatedDate
PRD000001,CAT004,Puma Jacket,Puma,FAS-PUM-000001,3128.77,4563.53,81,Active,2025-12-29
PRD000002,CAT001,Apple Printer,Apple,ELE-APP-000002,125.59,191.43,128,Active,2024-11-18
PRD000003,CAT005,Nivia Badminton Racket,Nivia,SPO-NIV-000003,4430.28,6249.34,71,Active,2025-10-22
PRD000004,CAT002,IKEA Sofa,IKEA,FUR-IKE-000004,4239.99,5550.4,72,Active,2026-02-23
PRD000005,CAT001,Dell Keyboard,Dell,ELE-DEL-000005,4157.5,5546.35,129,Active,2025-02-25
PRD000006,CAT010,Castrol Tyre,Castrol,AUT-CAS-000006,3201.79,4855.48,130,Inactive,2024-07-12
PRD000007,CAT009,Hasbro Building Blocks,Hasbro,TOY-HAS-000007,2444.61,3864.46,124,Active,2026-04-05
PRD000008,CAT006,Pearson SQL Handbook,Pearson,BOO-PEA-000008,2380.32,3729.65,66,Active,2025-10-29
PRD000009,CAT001,HP Monitor,HP,ELE-HP-000009,2872.3,4036.02,148,Active,2025-01-09
PRD000010,CAT008,Milton Mixer,Milton,HOM-MIL-000010,4390.69,6697.99,25,Active,2025-03-22
PRD000011,CAT002,Godrej Bookshelf,Godrej,FUR-GOD-000011,1612.54,1878.45,148,Active,2025-03-08
PRD000012,CAT008,Hawkins Pressure Cooker,Hawkins,HOM-HAW-000012,807.08,1025.51,134,Active,2025-01-16
PRD000013,CAT001,Sony Keyboard,Sony,ELE-SON-000013,1128.26,1718.24,72,Active,2024-11-13
PRD000014,CAT001,Sony Keyboard,Sony,ELE-SON-000014,2724.71,3666.41,146,Active,2024-08-10
PRD000015,CAT005,Nivia Badminton Racket,Nivia,SPO-NIV-000015,2863.27,3617.25,40,Active,2024-07-02
PRD000016,CAT003,Tata Sugar,Tata,GRO-TAT-000016,3606.19,4620.55,149,Active,2025-01-16
PRD000017,CAT008,Hawkins Pressure Cooker,Hawkins,HOM-HAW-000017,748.29,1137.77,24,Active,2026-04-19
PRD000018,CAT010,Michelin Tyre,Michelin,AUT-MIC-000018,2300.27,2802.09,26,Active,2025-03-21
PRD000019,CAT003,Amul Coffee,Amul,GRO-AMU-000019,3677.76,5847.34,57,Active,2025-02-15
PRD000020,CAT007,Nivea Moisturizer,Nivea,BEA-NIV-000020,164.18,221.05,44,Inactive,2025-03-12
PRD000021,CAT003,Nestle Tea,Nestle,GRO-NES-000021,112.59,147.97,149,Active,2025-03-22
PRD000022,CAT004,Nike Hoodie,Nike,FAS-NIK-000022,3529.36,4565.34,108,Inactive,2025-01-12
PRD000023,CAT004,Levi's T-Shirt,Levi's,FAS-LEV-000023,2402.02,3389.11,114,Active,2025-10-07
PRD000024,CAT010,Castrol Helmet,Castrol,AUT-CAS-000024,2065.24,2778.0,130,Active,2025-05-28
PRD000025,CAT010,Bosch Tyre,Bosch,AUT-BOS-000025,4890.51,7094.08,59,Active,2025-11-06
PRD000026,CAT004,Adidas T-Shirt,Adidas,FAS-ADI-000026,4427.34,7079.23,73,Active,2026-02-09
PRD000027,CAT008,Philips Water Bottle,Philips,HOM-PHI-000027,1056.05,1516.67,69,Active,2025-07-29
PRD000028,CAT010,Michelin Seat Cover,Michelin,AUT-MIC-000028,2540.8,3083.23,135,Active,2024-12-14
PRD000029,CAT004,Levi's Jacket,Levi's,FAS-LEV-000029,2427.24,2832.15,130,Active,2024-07-13
PRD000030,CAT006,McGraw Hill Machine Learning,McGraw Hill,BOO-MCG-000030,177.85,249.76,25,Inactive,2025-12-31
PRD000031,CAT001,HP Smart Watch,HP,ELE-HP-000031,3084.51,4050.1,129,Active,2025-06-04
PRD000032,CAT007,L'Oréal Shampoo,L'Oréal,BEA-L'O-000032,3101.68,4825.67,53,Inactive,2025-05-19
PRD000033,CAT003,Britannia Biscuits,Britannia,GRO-BRI-000033,2882.37,4608.11,119,Active,2025-02-24
PRD000034,CAT003,Nestle Tea,Nestle,GRO-NES-000034,867.74,1040.84,76,Active,2026-03-23
PRD000035,CAT010,Bosch Helmet,Bosch,AUT-BOS-000035,4878.29,5931.87,31,Active,2026-02-08
PRD000036,CAT006,McGraw Hill Python Guide,McGraw Hill,BOO-MCG-000036,4678.59,6901.19,93,Active,2026-05-18
PRD000037,CAT008,Prestige Pressure Cooker,Prestige,HOM-PRE-000037,4765.29,5545.14,90,Discontinued,2024-11-10
PRD000038,CAT006,Pearson Data Science,Pearson,BOO-PEA-000038,1675.92,1986.29,148,Active,2026-05-02
PRD000039,CAT001,Apple Keyboard,Apple,ELE-APP-000039,609.25,823.67,23,Active,2025-04-03
PRD000040,CAT004,Levi's Cap,Levi's,FAS-LEV-000040,3287.75,4388.26,49,Active,2026-03-14
PRD000041,CAT003,Britannia Tea,Britannia,GRO-BRI-000041,2249.47,3276.99,72,Active,2025-10-03
PRD000042,CAT003,Tata Coffee,Tata,GRO-TAT-000042,2397.99,3128.47,129,Active,2024-12-24
PRD000043,CAT008,Milton Mixer,Milton,HOM-MIL-000043,4074.64,5873.66,148,Inactive,2026-05-25
PRD000044,CAT010,Bosch Seat Cover,Bosch,AUT-BOS-000044,1147.53,1777.33,54,Active,2026-03-10
PRD000045,CAT004,Puma Jacket,Puma,FAS-PUM-000045,4819.34,6550.39,64,Active,2024-09-15
PRD000046,CAT007,Dove Shampoo,Dove,BEA-DOV-000046,290.73,452.81,60,Active,2024-11-07
PRD000047,CAT003,Amul Butter,Amul,GRO-AMU-000047,4582.93,7110.81,115,Inactive,2025-02-08
PRD000048,CAT009,Funskool Puzzle,Funskool,TOY-FUN-000048,958.12,1311.44,70,Active,2024-10-21
PRD000049,CAT001,Apple Monitor,Apple,ELE-APP-000049,2186.59,3079.09,131,Inactive,2024-08-01
PRD000050,CAT009,Funskool Doll,Funskool,TOY-FUN-000050,4362.08,5351.29,24,Active,2025-02-18
PRD000051,CAT005,Yonex Football,Yonex,SPO-YON-000051,1927.34,2674.54,47,Active,2025-01-09
PRD000052,CAT005,Cosco Cricket Bat,Cosco,SPO-COS-000052,2605.3,4156.45,102,Active,2025-10-28
PRD000053,CAT006,McGraw Hill SQL Handbook,McGraw Hill,BOO-MCG-000053,4959.6,7578.94,145,Active,2024-11-28
PRD000054,CAT002,IKEA Office Chair,IKEA,FUR-IKE-000054,2345.38,2773.04,34,Discontinued,2025-04-05
PRD000055,CAT001,Samsung Printer,Samsung,ELE-SAM-000055,361.72,574.5,65,Active,2025-12-28
PRD000056,CAT010,Michelin Seat Cover,Michelin,AUT-MIC-000056,3153.5,4605.94,148,Inactive,2026-03-12
PRD000057,CAT005,Cosco Badminton Racket,Cosco,SPO-COS-000057,4540.48,5301.14,73,Active,2025-06-19
PRD000058,CAT009,Hasbro Building Blocks,Hasbro,TOY-HAS-000058,1949.97,2587.62,71,Active,2025-06-05
PRD000059,CAT002,Nilkamal Study Table,Nilkamal,FUR-NIL-000059,4049.28,4905.87,148,Active,2026-01-07
PRD000060,CAT002,Durian Bookshelf,Durian,FUR-DUR-000060,4366.74,6799.26,56,Active,2026-04-24
PRD000061,CAT006,Pearson Algorithms,Pearson,BOO-PEA-000061,4420.48,5722.14,117,Active,2024-07-18
PRD000062,CAT009,Funskool Puzzle,Funskool,TOY-FUN-000062,4418.82,6948.99,28,Active,2024-07-09
PRD000063,CAT005,Wilson Football,Wilson,SPO-WIL-000063,3541.92,5287.0,82,Active,2025-11-10
PRD000064,CAT001,HP Keyboard,HP,ELE-HP-000064,2686.48,3922.48,139,Active,2024-12-30
PRD000065,CAT006,Pearson Data Science,Pearson,BOO-PEA-000065,3797.69,5664.47,112,Active,2025-08-14
PRD000066,CAT002,IKEA Wardrobe,IKEA,FUR-IKE-000066,2203.25,2836.12,140,Active,2026-05-06
PRD000067,CAT007,L'Oréal Shampoo,L'Oréal,BEA-L'O-000067,4457.75,5334.45,55,Active,2025-07-02
PRD000068,CAT001,Dell Smartphone,Dell,ELE-DEL-000068,2784.45,3352.05,37,Active,2026-04-16
PRD000069,CAT003,Tata Sugar,Tata,GRO-TAT-000069,2359.07,3147.62,137,Inactive,2024-07-18
PRD000070,CAT008,Prestige Mixer,Prestige,HOM-PRE-000070,879.12,1251.07,26,Active,2025-03-07
PRD000071,CAT005,Nivia Yoga Mat,Nivia,SPO-NIV-000071,764.85,1020.08,65,Active,2024-09-28
PRD000072,CAT001,Apple Smart Watch,Apple,ELE-APP-000072,946.9,1475.07,65,Discontinued,2025-03-04
PRD000073,CAT004,Puma Sneakers,Puma,FAS-PUM-000073,2276.13,2858.44,93,Active,2026-04-24
PRD000074,CAT009,LEGO Doll,LEGO,TOY-LEG-000074,191.49,271.56,114,Active,2026-02-11
PRD000075,CAT010,Castrol Tyre,Castrol,AUT-CAS-000075,1416.88,1991.19,65,Active,2024-10-02
PRD000076,CAT010,Castrol Helmet,Castrol,AUT-CAS-000076,1500.97,1750.3,57,Active,2025-10-24
PRD000077,CAT002,Durian Dining Table,Durian,FUR-DUR-000077,2173.07,2715.47,97,Active,2025-12-24
PRD000078,CAT004,Puma Hoodie,Puma,FAS-PUM-000078,2916.86,4245.02,40,Active,2026-05-18
PRD000079,CAT008,Prestige Vacuum Cleaner,Prestige,HOM-PRE-000079,1550.8,2369.06,147,Inactive,2025-12-28
PRD000080,CAT005,Wilson Football,Wilson,SPO-WIL-000080,4049.78,5108.67,100,Active,2025-04-19
PRD000081,CAT001,HP Smartphone,HP,ELE-HP-000081,2728.66,3489.06,85,Active,2025-06-25
PRD000082,CAT010,Bosch Helmet,Bosch,AUT-BOS-000082,3552.25,5074.26,125,Active,2024-10-07
PRD000083,CAT008,Hawkins Pressure Cooker,Hawkins,HOM-HAW-000083,1405.92,1732.49,65,Active,2024-12-23
PRD000084,CAT004,Nike T-Shirt,Nike,FAS-NIK-000084,2940.49,4221.36,83,Active,2024-08-09
PRD000085,CAT004,Adidas Jeans,Adidas,FAS-ADI-000085,1521.29,1788.74,90,Active,2024-12-26
PRD000086,CAT004,Adidas Hoodie,Adidas,FAS-ADI-000086,1961.61,2297.46,48,Inactive,2025-10-29
PRD000087,CAT001,Samsung Mouse,Samsung,ELE-SAM-000087,3042.93,3565.03,30,Active,2025-04-26
PRD000088,CAT001,Sony Earbuds,Sony,ELE-SON-000088,480.98,704.72,135,Active,2024-12-21
PRD000089,CAT004,Puma Jacket,Puma,FAS-PUM-000089,3289.98,4203.87,87,Active,2025-03-09
PRD000090,CAT003,Tata Tea,Tata,GRO-TAT-000090,3328.19,4901.42,92,Active,2025-06-26
PRD000091,CAT004,Levi's Sneakers,Levi's,FAS-LEV-000091,3728.51,4548.45,116,Active,2025-02-16
PRD000092,CAT001,Apple Monitor,Apple,ELE-APP-000092,2817.46,3998.81,78,Active,2025-10-17
PRD000093,CAT008,Prestige Cookware Set,Prestige,HOM-PRE-000093,4547.99,6774.8,107,Active,2025-05-17
PRD000094,CAT008,Hawkins Cookware Set,Hawkins,HOM-HAW-000094,4692.0,6100.54,117,Active,2024-11-29
PRD000095,CAT007,L'Oréal Face Wash,L'Oréal,BEA-L'O-000095,1724.44,2671.16,101,Active,2025-09-22
PRD000096,CAT010,Bosch Engine Oil,Bosch,AUT-BOS-000096,2090.77,2621.93,44,Active,2025-01-13
PRD000097,CAT001,HP Earbuds,HP,ELE-HP-000097,118.86,172.02,111,Active,2025-07-13
PRD000098,CAT004,Nike Cap,Nike,FAS-NIK-000098,3959.0,5788.45,64,Discontinued,2025-11-27
PRD000099,CAT004,Nike Cap,Nike,FAS-NIK-000099,2285.93,3328.3,36,Active,2025-03-29
PRD000100,CAT009,Funskool Board Game,Funskool,TOY-FUN-000100,733.82,1135.65,147,Active,2024-11-06
